#ClinGen Gene Curation Results
#31 May,2020
#Genomic Locations are reported on GRCh38 (hg38): GCF_000001405.36
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
DCHS1	8642	11p15.4	chr11:6621324-6655849	1	Little evidence for dosage pathogenicity	26258302			0	No evidence available				2018-08-31		
DCLRE1C	64421	10p13	chr10:14897853-14954432	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
DCX	1641	Xq23	chrX:111293779-111412232	3	Sufficient evidence for dosage pathogenicity	9489700			0	No evidence available				2012-07-06	300067	
DCXR	51181	17q25.3	chr17:82035881-82037697	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	260800	
DDB2	1643	11p11.2	chr11:47214942-47239218	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	278740	
DDHD1	80821	14q22.1	chr14:53036740-53153328	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2014-09-25	609340	
DDOST	1650	1p36.12	chr1:20651767-20661544	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614507	
DDX3X	1654	Xp11.4	chrX:41333308-41364472	3	Sufficient evidence for dosage pathogenicity	26235985	27159028	28327206	0	No evidence available				2017-11-22	300958	
DGKE	8526	17q22	chr17:56834099-56869565	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615008	
DGUOK	1716	2p13.1	chr2:73926826-73958961	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
DHCR7	1717	11q13.4	chr11:71434411-71448431	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-04-04	270400	
DHODH	1723	16q22.2	chr16:72008744-72027659	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	263750	
DHX57	90957	2p22.1	chr2:38797729-38875934	0	No evidence available	25363760	28263302		0	No evidence available				2018-06-28		
DICER1	23405	14q32.13	chr14:95086228-95158010	3	Sufficient evidence for dosage pathogenicity	24761742			0	No evidence available				2017-04-13	138800,601200,180295	
DIP2A	23181	21q22.3	chr21:46458942-46570900	1	Little evidence for dosage pathogenicity	18521840	25363768	24643514	0	No evidence available				2019-01-23		
DIRAS3	9077	1p31.3	chr1:68045962-68051762	0	No evidence available				0	No evidence available				2011-10-19		
DISC1	27185	1q42.2	chr1:231626815-232041272	0	No evidence available				0	No evidence available				2012-03-06		
DISP1	84976	1q41	chr1:222814514-223005995	0	No evidence available				0	No evidence available				2012-07-06		
DKC1	1736	Xq28	chrX:154762742-154777689	1	Little evidence for dosage pathogenicity	18627054			0	No evidence available				2012-04-25		
DLG2	1740	11q14.1	chr11:83455009-85628534	1	Little evidence for dosage pathogenicity	21792059	25055870	18511947	0	No evidence available				2018-11-28		
DLG3	1741	Xq13.1	chrX:70444850-70505490	2	Some evidence for dosage pathogenicity	15185169	19795139	24721225	0	No evidence available				2019-11-20	300850	
DLGAP2	9228	8p23.3	chr8:737719-1708476	0	No evidence available				0	No evidence available				2012-03-22		
DLK1	8788	14q32.2	chr14:100726865-100738224	0	No evidence available				0	No evidence available				2012-04-28		
DLX1	1745	2q31.1	chr2:172085480-172089674	0	No evidence available				0	No evidence available				2012-03-30		
DLX2	1746	2q31.1	chr2:172099438-172102750	0	No evidence available				0	No evidence available				2012-01-19		
DLX5	1749	7q21.3	chr7:97020390-97024831	0	No evidence available				0	No evidence available				2012-05-14	220600	
DLX6	1750	7q21.3	chr7:97005978-97011040	0	No evidence available				0	No evidence available				2012-05-14	220600	
DMD	1756	Xp21.2-p21.1	chrX:31119219-33339609	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2019-11-20	310200,300376,302045	
DMP1	1758	4q22.1	chr4:87650302-87664361	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	241520	
DMRT1	1761	9p24.3	chr9:841647-969090	2	Some evidence for dosage pathogenicity	20685758	22573722		0	No evidence available				2012-06-06		
DMRT2	10655	9p24.3	chr9:1050346-1057554	0	No evidence available				0	No evidence available				2012-08-22		
DMXL2	23312	15q21.2	chr15:51447724-51622833	0	No evidence available				0	No evidence available				2012-04-04		
DNAAF1	123872	16q24.1	chr16:84145260-84178761	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613193	
DNAH11	8701	7p15.3	chr7:21543215-21901568	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	611884	
DNAH5	1767	5p15.2	chr5:13690328-14011829	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	608644	
DNAI1	27019	9p13.3	chr9:34458752-34520989	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	244400	
DNAI2	64446	17q25.1	chr17:74274215-74314884	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	612444	
DNAJB6	10049	7q36.3	chr7:157337004-157417439	0	No evidence available				0	No evidence available				2012-10-29		
DNAJC6	9829	1p31.3	chr1:65264694-65415869	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615528	
DNASE1	1773	16p13.3	chr16:3611705-3665472	0	No evidence available				0	No evidence available				2012-02-22		
DNMT3A	1788	2p23.3	chr2:25232961-25342590	1	Little evidence for dosage pathogenicity	24614070	26866722	27701732	0	No evidence available				2018-04-29	615879	
DOCK7	85440	1p31.3	chr1:62454726-62688368	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615859	
DOCK8	81704	9p24.3	chr9:211297-465260	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	243700	
DOK7	285489	4p16.3	chr4:3463306-3501476	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
DPAGT1	1798	11q23.3	chr11:119096503-119102414	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
DPM1	8813	20q13.13	chr20:50934855-50958564	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	608799	
DPM3	54344	1q22	chr1:155139891-155140573	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-04-08	612937	
DPP6	1804	7q36.2	chr7:153747986-154894290	1	Little evidence for dosage pathogenicity	23832105	18252227	30874922	0	No evidence available				2019-06-26	616311	
DPYD	1806	1p21.3	chr1:97077743-97921059	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2018-01-23	274270	
DPYS	1807	8q22.3	chr8:104379424-104467075	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	222748	
DRD5	1816	4p16.1	chr4:9781634-9784009	0	No evidence available				0	No evidence available				2012-05-15		
DSC2	1824	18q12.1	chr18:31065974-31102432	2	Some evidence for dosage pathogenicity	17186466	17033975	21062920	0	No evidence available				2016-01-14	610476	
DSC3	1825	18q12.1	chr18:30989365-31042815	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613102	
DSCAM	1826	21q22.2	chr21:40010999-40847113	3	Sufficient evidence for dosage pathogenicity	27824329	25363768	25363760	0	No evidence available				2018-01-24	209850	209850
DSCR3	10311	21q22.13	chr21:37223420-37268108	0	No evidence available				0	No evidence available				2012-04-24		
DSE	29940	6q22.1	chr6:116254152-116441261	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615539	
DSG2	1829	18q12.1	chr18:31498004-31549008	1	Little evidence for dosage pathogenicity	21397041	26296472	16773573	0	No evidence available				2015-11-16		
DSG4	147409	18q12.1	chr18:31376777-31415791	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	607903	
DSP	1832	6p24.3	chr6:7541575-7586717	1	Little evidence for dosage pathogenicity	15941723	23137101		0	No evidence available				2016-01-14		
DSPP	1834	4q22.1	chr4:87608529-87616873	0	No evidence available				0	No evidence available				2013-03-27		
DYM	54808	18q21.1	chr18:49041474-49460709	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-02-23		
DYNC2H1	79659	11q22.3	chr11:103109431-103479863	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613091	
DYRK1A	1859	21q22.13	chr21:37365573-37515376	3	Sufficient evidence for dosage pathogenicity	22495309	21294719	18405873	0	No evidence available				2012-04-19	614104	
EARS2	124454	16p12.2	chr16:23522013-23557375	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614924	
EBP	10682	Xp11.23	chrX:48521776-48528716	3	Sufficient evidence for dosage pathogenicity	11038443	12509714	10942423	0	No evidence available				2020-01-22	302960	
EDA	1896	Xq13.1	chrX:69616067-70039472	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-07-26	305100	
EDNRB	1910	13q22.3	chr13:77895481-77975723	3	Sufficient evidence for dosage pathogenicity	8852658	10528251	8001158	0	No evidence available				2012-07-06	600155	
EFNB1	1947	Xq13.1	chrX:68828997-68842164	3	Sufficient evidence for dosage pathogenicity	15166289	15124102	15959873	1	Little evidence for dosage pathogenicity	21064195			2012-07-26	304110	
EFTUD2	9343	17q21.31	chr17:44850287-44899625	3	Sufficient evidence for dosage pathogenicity	22305528	23188108		0	No evidence available				2013-05-23	610536	
EGR2	1959	10q21.3	chr10:62811996-62819167	0	No evidence available				0	No evidence available				2011-11-28		
EHMT1	79813	9q34.3	chr9:137618988-137836127	3	Sufficient evidence for dosage pathogenicity	16826528	19264732		1	Little evidence for dosage pathogenicity	22083728			2012-07-06	610253	
EIF2AK3	9451	2p11.2	chr2:88556740-88627576	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	226980	
EIF2B1	1967	12q24.31	chr12:123621023-123633776	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	603896	
EIF2B3	8891	1p34.1	chr1:44850522-44986722	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	603896	
EIF4A3	9775	17q25.3	chr17:80135214-80147183	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	268305	
ELAVL2	1993	9p21.3	chr9:23690099-23850757	1	Little evidence for dosage pathogenicity	25055870			0	No evidence available				2018-11-28		
ELK1	2002	Xp11.23	chrX:47635520-47650604	0	No evidence available				0	No evidence available				2012-09-26		
ELN	2006	7q11.23	chr7:74027772-74069907	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-07-10	185500	
EMX2	2018	10q26.11	chr10:117542445-117549546	2	Some evidence for dosage pathogenicity	8528262	18409201		0	No evidence available				2011-12-21	269160	
EN2	2020	7q36.3	chr7:155458129-155464831	0	No evidence available				0	No evidence available				2012-08-26		
ENG	2022	9q34.11	chr9:127815012-127854773	3	Sufficient evidence for dosage pathogenicity	20412114	20414677	16752392	0	No evidence available				2016-12-07	187300	
ENO3	2027	17p13.2	chr17:4949182-4957131	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	612932	
ENPP1	5167	6q23.2	chr6:131808016-131895155	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
EP300	2033	22q13.2	chr22:41092610-41180077	3	Sufficient evidence for dosage pathogenicity	15706485	19353645		0	No evidence available				2013-03-14	613684	
EPB42	2038	15q15.2	chr15:43197227-43225856	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	612690	
EPCAM	4072	2p21	chr2:47369148-47387028	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2019-10-08		
EPM2A	7957	6q24.3	chr6:145500744-145736018	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	254780	
EPS8	2059	12p12.3	chr12:15620141-15789576	30	Gene associated with autosomal recessive phenotype	24741995	27344577		0	No evidence available				2018-02-07	615974	
ERCC1	2067	19q13.32	chr19:45407333-45478866	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	610758	
ERCC2	2068	19q13.32	chr19:45349837-45370647	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
ERCC5	2073	13q33.1	chr13:102845841-102876001	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
ERCC6L2	375748	9q22.32	chr9:95875618-96041092	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615715	
ERCC8	1161	5q12.1	chr5:60873832-60945078	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
ERF	2077	19q13.2	chr19:42247561-42255164	2	Some evidence for dosage pathogenicity	23354439	26097063		0	No evidence available				2017-04-13		
ERMARD	55780	6q27	chr6:169751622-169781584	1	Little evidence for dosage pathogenicity	24056535			0	No evidence available				2013-11-13		
ESCO2	157570	8p21.1	chr8:27771949-27812404	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
ESPN	83715	1p36.31	chr1:6424776-6461367	30	Gene associated with autosomal recessive phenotype	15286153	18973245		0	No evidence available				2018-02-07	609006	
ETFB	2109	19q13.41	chr19:51345155-51366418	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	231680	
ETFDH	2110	4q32.1	chr4:158672101-158708713	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	231680	
EVC2	132884	4p16.2	chr4:5531921-5709548	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2013-07-18		
EVX2	344191	2q31.1	chr2:176080107-176083962	0	No evidence available				0	No evidence available				2012-04-04		
EXOSC3	51010	9p13.2	chr9:37779714-37785092	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614678	
EXPH5	23086	11q22.3	chr11:108505431-108607514	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615028	
EXT1	2131	8q24.11	chr8:117797496-118111819	3	Sufficient evidence for dosage pathogenicity				0	No evidence available	20101682			2012-01-12	133700	
EXT2	2132	11p11.2	chr11:44095549-44245430	3	Sufficient evidence for dosage pathogenicity	21703028			0	No evidence available				2012-03-08	133701	
EYA1	2138	8q13.3	chr8:71197433-71548130	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-01-12	113650	
EYA4	2070	6q23.2	chr6:133240340-133532120	3	Sufficient evidence for dosage pathogenicity	11159937	17567890	15735644	0	No evidence available				2020-01-22	601316	
EYS	346007	6q12	chr6:63719980-65707225	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	602772	
F10	2159	13q34	chr13:113122799-113149529	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	227600	
F13A1	2162	6p25.1	chr6:6144078-6320691	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
F13B	2165	1q31.3	chr1:197038741-197067267	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613235	
F5	2153	1q24.2	chr1:169511954-169586632	30	Gene associated with autosomal recessive phenotype	11435304	19598066		0	No evidence available				2018-01-11	227400	
F7	2155	13q34	chr13:113105773-113120681	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
F8	2157	Xq28	chrX:154835788-155022723	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-04-05	306700	
F9	2158	Xq27.1	chrX:139530720-139563459	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-04-26	306900	
FA2H	79152	16q23.1	chr16:74712955-74774831	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	612319	
FADD	8772	11q13.3	chr11:70203163-70207402	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613759	
FAM134B	54463	5p15.1	chr5:16473038-16617058	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613115	
FAM161A	84140	2p15	chr2:61800240-61856074	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	606068	
FAM20C	56975	7p22.3	chr7:192939-260774	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	259775	
FAM58A	92002	Xq28	chrX:153587925-153599177	2	Some evidence for dosage pathogenicity	18297069			0	No evidence available				2013-04-26	300707	
FAN1	22909	15q13.3	chr15:30903695-30943108	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614817	
FANCA	2175	16q24.3	chr16:89737551-89816658	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-02-23	227650	
FANCB	2187	Xp22.2	chrX:14690863-14873255	3	Sufficient evidence for dosage pathogenicity	15502827	15502827	16679491	0	No evidence available				2012-05-31	300514	
FANCC	2176	9q22.32	chr9:95099054-95317730	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	227645	
FANCD2	2177	3p25.3	chr3:10026387-10101937	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	227646	
FANCF	2188	11p14.3	chr11:22622533-22625841	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	603467	
FANCI	55215	15q26.1	chr15:89243954-89317132	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	609053	
FARS2	10667	6p25.1	chr6:5261001-5771592	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
FASLG	356	1q24.3	chr1:172659008-172666873	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-25		
FBN1	2200	15q21.1	chr15:48408306-48645788	3	Sufficient evidence for dosage pathogenicity	17701892	30286810	21063442	0	No evidence available				2019-12-04	154700	
FBP1	2203	9q22.32	chr9:94603133-94640257	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	229700	
FBXO7	25793	22q12.3	chr22:32474682-32498831	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	260300	
FBXW11	23291	5q35.1	chr5:171861549-172006873	0	No evidence available				1	Little evidence for dosage pathogenicity	16865294			2011-12-07		
FBXW4	6468	10q24.32	chr10:101610664-101695295	0	No evidence available				0	No evidence available				2014-10-08		246560
FGD1	2245	Xp11.22	chrX:54445454-54496166	3	Sufficient evidence for dosage pathogenicity	17152066	20082460		0	No evidence available				2012-06-14	305400	
FGD4	121512	12p11.21	chr12:32399523-32646050	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	609311	
FGF10	2255	5p12	chr5:44301655-44389780	3	Sufficient evidence for dosage pathogenicity	15654336	16630169	19102732	0	No evidence available				2020-02-26	180920,149730	
FGF3	2248	11q13.3	chr11:69809968-69819424	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	610706	
FGFR1	2260	8p11.23	chr8:38411138-38468834	3	Sufficient evidence for dosage pathogenicity	12627230	16882753	19489874	0	No evidence available				2012-03-22	147950	
FGFR3	2261	4p16.3	chr4:1793299-1808872	0	No evidence available				0	No evidence available	21815251	20197130		2011-11-09		
FGFRL1	53834	4p16.3	chr4:1011822-1026898	0	No evidence available				0	No evidence available				2013-08-01		
FHIT	2272	3p14.2	chr3:59747278-61251474	0	No evidence available	17363630	2337565		0	No evidence available	27113213			2018-10-24		
FKBP14	55033	7p14.3	chr7:30010583-30026801	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614557	
FLCN	201163	17p11.2	chr17:17206945-17237188	3	Sufficient evidence for dosage pathogenicity	22146830	20413710	21412933	0	No evidence available				2016-11-10	135150	
FLG	2312	1q21.3	chr1:152302175-152325203	3	Sufficient evidence for dosage pathogenicity	16444271	27793761	27667308	0	No evidence available				2020-02-26	146700	
FLNA	2316	Xq28	chrX:154348529-154374638	3	Sufficient evidence for dosage pathogenicity	22238415	11532987		0	No evidence available				2012-04-26	300049	
FLNB	2317	3p14.3	chr3:58008400-58172255	0	No evidence available				0	No evidence available				2013-07-25		
FLVCR2	55640	14q24.3	chr14:75578597-75648169	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	225790	
FMR1	2332	Xq27.3	chrX:147911951-147951127	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-04-26	300624	
FOLR1	2348	11q13.4	chr11:72189558-72196323	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2019-06-25		
FOXC1	2296	6p25.3	chr6:1610446-1613897	3	Sufficient evidence for dosage pathogenicity	11170889	10713890	18498376	0	No evidence available				2012-02-23	602482	601631
FOXC2	2303	16q24.1	chr16:86567251-86568933	3	Sufficient evidence for dosage pathogenicity	11078474	11694548	21918810	0	No evidence available				2013-11-26	153400	
FOXE1	2304	9q22.33	chr9:97853255-97856715	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
FOXE3	2301	1p33	chr1:47416072-47418052	0	No evidence available				0	No evidence available				2017-12-13		
FOXF1	2294	16q24.1	chr16:86510527-86514464	3	Sufficient evidence for dosage pathogenicity	23505205			0	No evidence available				2013-06-20	265380	
FOXG1	2290	14q12	chr14:28767072-28770277	3	Sufficient evidence for dosage pathogenicity	18571142	19578037		0	No evidence available				2012-03-08	613454	
FOXL2	668	3q22.3	chr3:138944224-138947140	3	Sufficient evidence for dosage pathogenicity	18726931	15962237	20232352	0	No evidence available				2012-04-15	110100	
FOXP1	27086	3p13	chr3:70954714-71583989	3	Sufficient evidence for dosage pathogenicity	29090079	20848658	20950788	0	No evidence available				2020-01-22	613670	
FOXP2	93986	7q31.1	chr7:114086310-114693772	1	Little evidence for dosage pathogenicity	15877281			0	No evidence available				2012-09-19	605317	
FOXRED1	55572	11q24.2	chr11:126269040-126278132	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
FREM1	158326	9p22.3	chr9:14734666-14911653	0	No evidence available				0	No evidence available				2013-06-06		
FRMD7	90167	Xq26.2	chrX:132076986-132128022	3	Sufficient evidence for dosage pathogenicity	17013395	20450309	28378818	0	No evidence available				2020-04-09	310700	
FSHB	2488	11p14.1	chr11:30231016-30235277	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	229070	
FTCD	10841	21q22.3	chr21:46135981-46156481	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	229100	
FTL	2512	19q13.33	chr19:48965309-48966879	0	No evidence available				0	No evidence available				2013-08-22		
FTSJ1	24140	Xp11.23	chrX:48476021-48486364	3	Sufficient evidence for dosage pathogenicity	15162322	15342698	18081026	0	No evidence available				2012-07-12	309549	
FXN	2395	9q21.11	chr9:69035563-69100178	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	229300	
FYCO1	79443	3p21.31	chr3:45917899-45995824	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-05-20	610019	
FZD4	8322	11q14.2	chr11:86945675-86955398	3	Sufficient evidence for dosage pathogenicity	12172548	15223780	14507768	0	No evidence available				2012-07-06	133780	
G6PC3	92579	17q21.31	chr17:44070700-44076344	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2020-04-30	612541	
GAA	2548	17q25.3	chr17:80101526-80119882	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	232300	
GABRA1	2554	5q34	chr5:161847191-161899959	2	Some evidence for dosage pathogenicity	16718694	21714819	22812724	0	No evidence available				2017-08-09		
GABRB3	2562	15q12	chr15:26543546-26773788	0	No evidence available				0	No evidence available				2012-04-25		
GABRG2	2566	5q34	chr5:162067642-162155539	1	Little evidence for dosage pathogenicity	12117362	19261880	24480790	0	No evidence available				2018-09-25		
GALC	2581	14q31.3	chr14:87933014-87993665	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	245200	
GALK1	2584	17q25.1	chr17:75757937-75765199	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	230200	
GALNS	2588	16q24.3	chr16:88813734-88856970	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	253000	
GALNT12	79695	9q22.33	chr9:98807699-98850081	1	Little evidence for dosage pathogenicity	29749045	19617566	22461326	0	No evidence available				2019-09-09	608812	
GALNT3	2591	2q24.3	chr2:165747803-165796352	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	211900	
GALR1	2587	18q23	chr18:77250052-77270142	0	No evidence available				0	No evidence available				2012-07-06		
GALT	2592	9p13.3	chr9:34646589-34650598	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	230400	
GAMT	2593	19p13.3	chr19:1397026-1401570	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	612736	
GAN	8139	16q23.2	chr16:81314941-81380198	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	256850	
GATA2	2624	3q21.3	chr3:128479422-128493187	3	Sufficient evidence for dosage pathogenicity	21892158	21670465	22147895	0	No evidence available				2015-06-04	614038,614172	
GATA3	2625	10p14	chr10:8045421-8075201	3	Sufficient evidence for dosage pathogenicity	10935639	14985365		0	No evidence available	19659764			2011-10-28	146255	
GATA4	2626	8p23.1	chr8:11676919-11760002	3	Sufficient evidence for dosage pathogenicity	12845333	15863664	24000169	0	No evidence available				2017-02-08	607941	
GATA6	2627	18q11.2	chr18:22169437-22202528	3	Sufficient evidence for dosage pathogenicity	22158542	23223019	23635550	0	No evidence available				2013-06-20	600001	
GATAD1	57798	7q21.2	chr7:92447448-92494631	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614672	
GATAD2B	57459	1q21.3	chr1:153804907-153922975	3	Sufficient evidence for dosage pathogenicity	23644463	28077840	27848944	0	No evidence available				2017-12-27	615074	
GBA	2629	1q22	chr1:155234448-155244862	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
GBA2	57704	9p13.3	chr9:35736862-35749255	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614409	
GBE1	2632	3p12.2	chr3:81489699-81761799	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
GCDH	2639	19p13.13	chr19:12891129-12915345	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	231670	
GCH1	2643	14q22.2	chr14:54842005-54902824	3	Sufficient evidence for dosage pathogenicity	17804835	17111153	21287604	0	No evidence available				2016-05-12	128230	
GCSH	2653	16q23.2	chr16:81081947-81096375	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	605899	
GDF2	2658	10q11.22	chr10:47322490-47327588	0	No evidence available				0	No evidence available				2016-10-13		
GDF5	8200	20q11.22	chr20:35433347-35454746	3	Sufficient evidence for dosage pathogenicity	12567410	9288091	18283415	0	No evidence available				2012-04-26	113100	
GDI1	2664	Xq28	chrX:154436913-154443467	2	Some evidence for dosage pathogenicity	9620768	22002931		0	No evidence available				2018-09-26	300849	
GFER	2671	16p13.3	chr16:1984149-1987749	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613076	
GFM1	85476	3q25.32	chr3:158644497-158692572	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	609060	
